phase	entrez
G2.M	25904
G2.M	116840
G2.M	55790
G2.M	10664
G2.M	1495
G2.M	1500
G2.M	55635
G2.M	55789
G2.M	81624
G2.M	9787
G2.M	3301
G2.M	3337
G2.M	1810
G2.M	1846
G2.M	9666
G2.M	1875
G2.M	1894
G2.M	10595
G2.M	54478
G2.M	2243
G2.M	2305
G2.M	2487
G2.M	2534
G2.M	55632
G2.M	1647
G2.M	283431
G2.M	2621
G2.M	2735
G2.M	2805
G2.M	2870
G2.M	51512
G2.M	3054
G2.M	64224
G2.M	10362
G2.M	3149
G2.M	3161
G2.M	51155
G2.M	50809
G2.M	89781
G2.M	9653
G2.M	6782
G2.M	3305
G2.M	3312
G2.M	91734
G2.M	3620
G2.M	3493
G2.M	51763
G2.M	3642
G2.M	3708
G2.M	23510
G2.M	9928
G2.M	9585
G2.M	11004
G2.M	3799
G2.M	687
G2.M	126823
G2.M	3930
G2.M	4000
G2.M	4026
G2.M	10234
G2.M	5603
G2.M	4147
G2.M	4173
G2.M	9656
G2.M	10873
G2.M	55320
G2.M	4288
G2.M	440145
G2.M	9918
G2.M	57727
G2.M	54820
G2.M	4751
G2.M	2494
G2.M	83540
G2.M	129401
G2.M	4928
G2.M	51203
G2.M	4957
G2.M	170392
G2.M	4973
G2.M	220064
G2.M	56924
G2.M	55872
G2.M	51585
G2.M	5293
G2.M	5324
G2.M	5347
G2.M	25886
G2.M	9883
G2.M	5514
G2.M	5635
G2.M	55771
G2.M	55615
G2.M	84262
G2.M	5733
G2.M	7803
G2.M	5780
G2.M	11137
G2.M	54870
G2.M	5889
G2.M	5905
G2.M	221002
G2.M	9939
G2.M	1827
G2.M	1102
G2.M	473
G2.M	55658
G2.M	50862
G2.M	10921
G2.M	8568
G2.M	22929
G2.M	6421
G2.M	79801
G2.M	10246
G2.M	57153
G2.M	6598
G2.M	6602
G2.M	6525
G2.M	10615
G2.M	6711
G2.M	6715
G2.M	6722
G2.M	6428
G2.M	6760
G2.M	6777
G2.M	10460
G2.M	7033
G2.M	7050
G2.M	9967
G2.M	7090
G2.M	255104
G2.M	51524
G2.M	126282
G2.M	3842
G2.M	10953
G2.M	22974
G2.M	9319
G2.M	7251
G2.M	25987
G2.M	7247
G2.M	7272
G2.M	10383
G2.M	10190
G2.M	7296
G2.M	7323
G2.M	8975
G2.M	10600
G2.M	81839
G2.M	7412
G2.M	26118
G2.M	7533
G2.M	51530
G2.M	7543
G2.M	79830
G2.M	7756
G2.M	25925
M.G1	60312
M.G1	3267
M.G1	56894
M.G1	11214
M.G1	262
M.G1	81611
M.G1	84168
M.G1	314
M.G1	8639
M.G1	9531
M.G1	22903
M.G1	375341
M.G1	720
M.G1	11335
M.G1	100133941
M.G1	998
M.G1	1022
M.G1	1033
M.G1	80321
M.G1	29097
M.G1	1411
M.G1	9646
M.G1	51503
M.G1	9265
M.G1	55802
M.G1	10671
M.G1	28955
M.G1	1736
M.G1	10049
M.G1	1832
M.G1	8655
M.G1	1977
M.G1	55140
M.G1	10712
M.G1	58516
M.G1	123811
M.G1	3607
M.G1	10818
M.G1	8087
M.G1	10146
M.G1	2624
M.G1	9518
M.G1	2782
M.G1	80273
M.G1	2935
M.G1	9329
M.G1	3091
M.G1	8349
M.G1	3111
M.G1	10362
M.G1	3156
M.G1	51170
M.G1	3312
M.G1	3434
M.G1	3433
M.G1	3608
M.G1	221037
M.G1	10765
M.G1	9786
M.G1	3799
M.G1	3837
M.G1	3845
M.G1	23367
M.G1	51574
M.G1	348801
M.G1	91548
M.G1	55791
M.G1	55646
M.G1	4302
M.G1	9643
M.G1	9801
M.G1	28973
M.G1	51116
M.G1	339287
M.G1	136319
M.G1	8202
M.G1	23413
M.G1	4774
M.G1	4782
M.G1	4842
M.G1	64710
M.G1	11163
M.G1	57532
M.G1	79023
M.G1	4957
M.G1	23596
M.G1	55003
M.G1	55872
M.G1	51585
M.G1	5154
M.G1	10226
M.G1	10769
M.G1	5515
M.G1	5520
M.G1	55291
M.G1	9055
M.G1	51334
M.G1	5663
M.G1	5763
M.G1	9232
M.G1	5864
M.G1	5885
M.G1	5901
M.G1	6009
M.G1	23521
M.G1	57181
M.G1	10073
M.G1	6428
M.G1	6764
M.G1	10274
M.G1	10492
M.G1	6880
M.G1	10915
M.G1	353376
M.G1	7090
M.G1	51524
M.G1	55281
M.G1	10766
M.G1	7150
M.G1	10024
M.G1	8848
M.G1	56995
M.G1	7323
M.G1	27338
M.G1	9712
M.G1	81839
M.G1	7414
M.G1	55048
M.G1	147179
M.G1	23286
M.G1	64328
M.G1	7528
M.G1	51341
M.G1	54819
M.G1	7572
M.G1	23528
M.G1	51042
M.G1	148198
M.G1	57169
M.G1	11055
M.G1	79149
